Name,Code,Cat Code,Parent Manufacturer
Cell-O-Core,CELO,PT_CAT374475,
Cellucap,CELU,PT_CAT374476,
Crem,CEM,PT_CAT223793,
Centrimaster,CEN,PT_CAT223906,
CEP,CEPC,PT_CAT374371,
Centpar,CER,PT_CAT223790,
Cetis,CETS,PT_CAT375522,
Chef's Choice,CFCH,PT_CAT374068,
Canfield Industries,CFI,PT_CAT374854,
Continental Store Fixture,CFIX,PT_CAT374481,
Caffe Izzo,CFIZ,PT_CAT375336,
Cofrimell,CFM,PT_CAT47287,
Chef-Master,CFMR,PT_CAT374066,
Coffee Pro,CFPR,PT_CAT374797,
Chef Specialties,CFSP,PT_CAT374720,
Craftmade,CFTM,PT_CAT375379,
California Faucets,CFTS,PT_CAT375887,
Cheforward,CFWD,PT_CAT374700,
Cleaning Critters,CGCR,PT_CAT374230,
Chicago Faucet,CGFT,PT_CAT249645,
Continental Girbau,CGIB,PT_CATCONTINENTALGIRBAU,
Chicago Pneumatic,CGPC,PT_CAT374865,
Camel Grinding Wheels,CGW,PT_CAT375549,
Component Hardware,CH,PT_CATCOMPONENTHARDWARE,
Champion,CHA,PT_CAT1037,Aligroup
Champion - Moyer Diebel,CHA,PT_CATCHAMPION,Aligroup
Moyer Diebel,CHA,PT_CAT1148,Aligroup
Chicago Dryer,CHD,PT_CAT224093,
Church & Dwight Co,CHDC,PT_CAT235466,
CHASE DOORS,CHDR,,
Choice Equipment,CHEQ,PT_CAT374478,
Chef'N,CHFN,PT_CAT374067,
Chef & Sommelier,CHFS,PT_CAT375777,
Chigo-Eurodib,CHG,PT_CAT221995,
C.H. Hanson,CHHS,PT_CAT375763,
Chase Instruments,CHIN,PT_CAT235685,
Checkpoint Levels,CHKP,PT_CAT375494,
Chill-Rite,CHL,PT_CAT223944,
Chamberlain,CHMB,PT_CAT375945,
Cash Acme,CHME,PT_CAT375390,
Cushman,CHMN,PT_CAT374873,
Champion Sports,CHMP,PT_CAT375821,
Chemex,CHMX,PT_CAT374069,
Chinet,CHN,PT_CAT375754,
Channel,CHNL,PT_CATCHANNEL,
Carryhot,CHOT,PT_CAT374473,
Chapin Manufacturing,CHPM,PT_CAT374859,
Chipquik,CHPQ,PT_CAT376020,
Cherne,CHRN,PT_CAT374863,
CHASE DOORS,CHS,,
Chase Products,CHSE,PT_CAT235636,
Chantal,CHTL,PT_CAT374477,
Chatillon Precision,CHTN,PT_CAT374861,
Chemtex,CHTX,PT_CAT375695,
T Christy's,CHTY,PT_CAT375789,
